source_text;ipa
haanɗere;h aː n ɗ e r e
haanɗinde;h aː n ɗ i n d e
haanɗude;h aː n ɗ u d e
haanere;h aː n e r e
haanere anndal, nyeenyal e finaatawaa;h aː n e r e   a n n d a l ,   n j eː n j a l   e   f i n aː t a w aː
haanere ɓii-leydaaku;h aː n e r e   ɓ iː - l e j d aː k u
haanere cellal;h aː n e r e   c e l l a l
haanere filaade golle gofernema;h aː n e r e   f i l aː d e   ɡ o l l e   ɡ o f e r n e m a
haanere gollude;h aː n e r e   ɡ o l l u d e
haanere heɓude ɓii-leydiyankaaku;h aː n e r e   h e ɓ u d e   ɓ iː - l e j d i j a n k aː k u
haanere heɓude gosaneede;h aː n e r e   h e ɓ u d e   ɡ o s a n eː d e
haanere heɓude jannginee;h aː n e r e   h e ɓ u d e   ɟ a n ŋ ɡ i n eː
haanere hiɓɓere ɓanndu;h aː n e r e   h i ɓ ɓ e r e   ɓ a n n d u
haanere hiɓɓere ndimaaku;h aː n e r e   h i ɓ ɓ e r e   n d i m aː k u
haanere humpiteede;h aː n e r e   h u m p i t eː d e
haanere jeyal;h aː n e r e   ɟ e j a l
haanere jeyal ko miilii yiiti;h aː n e r e   ɟ e j a l   k o   m iː l iː   j iː t i
haanere miilaneede na laaɓi;h aː n e r e   m iː l a n eː d e   n a   l aː ɓ i
haanere muurtere;h aː n e r e   m uː r t e r e
haanere ndeenaagu tomotte;h aː n e r e   n d eː n aː ɡ u   t o m o t t e
haanere nguurndam;h aː n e r e   ŋ ɡ uː r n d a m
haanere piilki lobbi;h aː n e r e   p iː l k i   l o b b i
haanere potal dow ndeenaagu sariya;h aː n e r e   p o t a l   d o w   n d eː n aː ɡ u   s a r i j a
haanere potal yeeso sariya;h aː n e r e   p o t a l   j eː s o   s a r i j a
haanere rafi aybineede;h aː n e r e   r a f i   a j b i n eː d e
haanere rafi senndiiru;h aː n e r e   r a f i   s e n n d iː r u
haanere rafi yanngiteede;h aː n e r e   r a f i   j a n ŋ ɡ i t eː d e
haanere reeneede nde ɗaɓɓi ndeenaagu;h aː n e r e   r eː n eː d e   n d e   ɗ a ɓ ɓ i   n d eː n aː ɡ u
haanere salaare nde luttataa;h aː n e r e   s a l aː r e   n d e   l u t t a t aː
haanere taa nanngee dow ɓureede semmbe;h aː n e r e   t aː   n a n ŋ ɡ eː   d o w   ɓ u r eː d e   s e m m b e
haanere walleede;h aː n e r e   w a l l eː d e
haanere wottagol;h aː n e r e   w o t t a ɡ o l
haanere wotteede;h aː n e r e   w o t t eː d e
haanere yaha wara ɗo haajaa;h aː n e r e   j a h a   w a r a   ɗ o   h aː ɟ aː
haange;h aː ŋ ɡ e
haanndinde;h aː n n d i n d e
haanndingol;h aː n n d i ŋ ɡ o l
haanude;h aː n u d e
haaŋeede;h aː ŋ eː d e
haaŋude;h aː ŋ u d e
Haaram;h aː r a m
haarannde;h aː r a n n d e
haareere;h aː r eː r e
haarnude;h aː r n u d e
haartaade;h aː r t aː d e
haarude;h aː r u d e
haasidaade;h aː s i d aː d e
haasidaaku;h aː s i d aː k u
haasidaare;h aː s i d aː r e
haasitaade;h aː s i t aː d e
haatannde;h aː t a n n d e
haatim-a;h aː t i m - a
haatumeere;h aː t u m eː r e
haatumeere cowondiral;h aː t u m eː r e   c o w o n d i r a l
haatumeere sahaaji;h aː t u m eː r e   s a h aː ɟ i
haawaade;h aː w aː d e
haawtanaade;h aː w t a n aː d e
haawto;h aː w t o
haayla;h aː j l a
haaynaade;h aː j n aː d e
haaynde;h aː j n d e
haayndeehi;h aː j n d eː h i
haaynude;h aː j n u d e
habaru;h a b a r u
Habiila;h a b iː l a
habisaare;h a b i s aː r e
habiseede;h a b i s eː d e
habisere;h a b i s e r e
haɓande;h a ɓ a n d e
haɓɓaade;h a ɓ ɓ aː d e
haɓɓande;h a ɓ ɓ a n d e
haɓɓaneede;h a ɓ ɓ a n eː d e
haɓɓeede;h a ɓ ɓ eː d e
haɓɓere;h a ɓ ɓ e r e
haɓɓere kaalis;h a ɓ ɓ e r e   k aː l i s
haɓɓidii e abajadda;h a ɓ ɓ i d iː   e   a b a ɟ a d d a
haɓɓitaade;h a ɓ ɓ i t aː d e
haɓɓitinde;h a ɓ ɓ i t i n d e
haɓɓodi e hakkillo;h a ɓ ɓ o d i   e   h a k k i l l o
haɓɓodii e coɓe;h a ɓ ɓ o d iː   e   c o ɓ e
haɓɓodii e dartol binndi;h a ɓ ɓ o d iː   e   d a r t o l   b i n n d i
haɓɓodii e ladde;h a ɓ ɓ o d iː   e   l a d d e
haɓɓodii e njahaki;h a ɓ ɓ o d iː   e   n ɟ a h a k i
haɓɓondirde;h a ɓ ɓ o n d i r d e
haɓɓondirgol e joƴƴingol ndewguuji;h a ɓ ɓ o n d i r ɡ o l   e   ɟ o ʔʲ ʔʲ i ŋ ɡ o l   n d e w ɡ uː ɟ i
haɓɓondiri e needi lobbiri;h a ɓ ɓ o n d i r i   e   n eː d i   l o b b i r i
haɓɓude;h a ɓ ɓ u d e
haɓeede;h a ɓ eː d e
haɓinde;h a ɓ i n d e
haɓitaade;h a ɓ i t aː d e
haɓnde;h a ɓ n d e
haɓo;h a ɓ o
haɓude;h a ɓ u d e
haɓugol;h a ɓ u ɡ o l
haccaade;h a c c aː d e
haciika;h a c iː k a
hacinkinde;h a c i n k i n d e
haddaade;h a d d aː d e
haddeede;h a d d eː d e
haddinde;h a d d i n d e
haddu;h a d d u
haddude;h a d d u d e
haddugol;h a d d u ɡ o l
haɗata laamu fercude;h a ɗ a t a   l aː m u   f e r c u d e
haɗɗere;h a ɗ ɗ e r e
haɗude;h a ɗ u d e
haɗugol;h a ɗ u ɡ o l
hagu;h a ɡ u
hajja;h a ɟ ɟ a
hajju;h a ɟ ɟ u
hakii;h a k iː
hakiika;h a k iː k a
hakindaade;h a k i n d aː d e
hakindaare;h a k i n d aː r e
hakindinde;h a k i n d i n d e
hakinkinde;h a k i n k i n d e
hakke;h a k k e
hakkilangol;h a k k i l a ŋ ɡ o l
hakkilantaaku;h a k k i l a n t aː k u
hakkilde;h a k k i l d e
hakkillo;h a k k i l l o
hakkillo miccitorngo;h a k k i l l o   m i c c i t o r ŋ ɡ o
hakkillowol;h a k k i l l o w o l
hakkitinde;h a k k i t i n d e
hakkunde;h a k k u n d e
hakkunde jemma;h a k k u n d e   ɟ e m m a
hakkunde laanye;h a k k u n d e   l aː n j e
hakkunde lekki e lekki;h a k k u n d e   l e k k i   e   l e k k i
hakkunde naange;h a k k u n d e   n aː ŋ ɡ e
hakkunde-binndi;h a k k u n d e - b i n n d i
hakkundeeru;h a k k u n d eː r u
hakkundeewol;h a k k u n d eː w o l
halaade;h a l aː d e
halal;h a l a l
halal (ɓiɗɗo);h a l a l   ( ɓ i ɗ ɗ o )
halɓaango;h a l ɓ aː ŋ ɡ o
halɓude;h a l ɓ u d e
haleede;h a l eː d e
halfinde;h a l f i n d e
halfinnde;h a l f i n n d e
halitaade;h a l i t aː d e
halkeede;h a l k eː d e
halkere;h a l k e r e
halkere yimɓe ummanaande;h a l k e r e   j i m ɓ e   u m m a n aː n d e
halkude;h a l k u d e
halkugol;h a l k u ɡ o l
halleende;h a l l eː n d e
hallere;h a l l e r e
hallude;h a l l u d e
haltude;h a l t u d e
halude;h a l u d e
hamanaare;h a m a n aː r e
hamma keekawal;h a m m a   k eː k a w a l
Hammadi;h a m m a d i
hammadiijo;h a m m a d iː ɟ o
Hammadum;h a m m a d u m
hammbiire;h a m m b iː r e
hamnannde;h a m n a n n d e
hamnde;h a m n d e
hamninde;h a m n i n d e
hamnude;h a m n u d e
hampude;h a m p u d e
hampurde;h a m p u r d e
hamre;h a m r e
hamrude;h a m r u d e
hamude;h a m u d e
hamƴude;h a m ʔʲ u d e
hanaa;h a n aː
handeere;h a n d eː r e
hanfurde;h a n f u r d e
hanhande;h a n h a n d e
hankin;h a n k i n
hannaare;h a n n aː r e
hanndaade;h a n n d aː d e
hannden;h a n n d e n
hanndinde;h a n n d i n d e
hanndude;h a n n d u d e
hannɗuɗo;h a n n ɗ u ɗ o
hanngeere;h a n ŋ ɡ eː r e
hanngude;h a n ŋ ɡ u d e
hano;h a n o
hant-o;h a n t - o
hantaade;h a n t aː d e
hantagol;h a n t a ɡ o l
hantoode;h a n t oː d e
hantorde;h a n t o r d e
hantude;h a n t u d e
hanude;h a n u d e
hanugol;h a n u ɡ o l
hanyude;h a n j u d e
hanyugol;h a n j u ɡ o l
haptaade;h a p t aː d e
haraade;h a r aː d e
Haran;h a r a n
harbitaade;h a r b i t aː d e
harɓude;h a r ɓ u d e
harfeere;h a r f eː r e
harfeere binndi celluɗi;h a r f eː r e   b i n n d i   c e l l u ɗ i
harfeere ekkondiroore;h a r f eː r e   e k k o n d i r oː r e
harfeere haɓɓodiinde e binndi celluɗi;h a r f eː r e   h a ɓ ɓ o d iː n d e   e   b i n n d i   c e l l u ɗ i
harfeere hawrondiroore;h a r f eː r e   h a w r o n d i r oː r e
harfeere holloore lunndagol;h a r f eː r e   h o l l oː r e   l u n n d a ɡ o l
harfeere lamndorde;h a r f eː r e   l a m n d o r d e
harfeere luɓaande;h a r f eː r e   l u ɓ aː n d e
harfeere nde maanda gooto;h a r f eː r e   n d e   m aː n d a   ɡ oː t o
harfeere nde taƴataake;h a r f eː r e   n d e   t a ʔʲ a t aː k e
harfu;h a r f u
harinaade;h a r i n aː d e
huutude;h uː t u d e
huuwude;h uː w u d e
huy;h u j
huyfere;h u j f e r e
huyfi;h u j f i
huyfinde;h u j f i n d e
huyfineede;h u j f i n eː d e
huyfingol;h u j f i ŋ ɡ o l
huyfinnde;h u j f i n n d e
huyfintinde;h u j f i n t i n d e
huyfude;h u j f u d e
huyinnde;h u j i n n d e
huylaade;h u j l aː d e
huylagol;h u j l a ɡ o l
huylitaade;h u j l i t aː d e
huynude;h u j n u d e
huynugol;h u j n u ɡ o l
huyre;h u j r e
huyude;h u j u d e
huywude;h u j w u d e
ibbere;i b b e r e
ibbi;i b b i
Ibiliisa;i b i l iː s a
Ibliisa;i b l iː s a
Ibrahiima;i b r a h iː m a
Ibraninkooɓe;i b r a n i n k oː ɓ e
iɓe;i ɓ e
iidi;iː d i
Iidi Faltagol;iː d i   f a l t a ɡ o l
iido;iː d o
iidoo;iː d oː
iidude;iː d u d e
iilde;iː l d e
iililal;iː l i l a l
iimaade;iː m aː d e
iimaade golle;iː m aː d e   ɡ o l l e
iimaanaaku;iː m aː n aː k u
iirtaade;iː r t aː d e
iirtinde;iː r t i n d e
iirtude;iː r t u d e
Iisaa;iː s aː
ilaa'irgol;i l aː ʔ i r ɡ o l
ilam;i l a m
ilam tuufaandu;i l a m   t uː f aː n d u
ilamji;i l a m ɟ i
ibbere;i b b e r e
ibbi;i b b i
Ibiliisa;i b i l iː s a
Ibliisa;i b l iː s a
Ibrahiima;i b r a h iː m a
Ibraninkooɓe;i b r a n i n k oː ɓ e
iɓe;i ɓ e
iidi;iː d i
Iidi Faltagol;iː d i   f a l t a ɡ o l
iido;iː d o
iidoo;iː d oː
iidude;iː d u d e
iilde;iː l d e
iililal;iː l i l a l
iimaade;iː m aː d e
iimaade golle;iː m aː d e   ɡ o l l e
iimaanaaku;iː m aː n aː k u
iirtaade;iː r t aː d e
iirtinde;iː r t i n d e
iirtude;iː r t u d e
Iisaa;iː s aː
ilaa'irgol;i l aː ʔ i r ɡ o l
ilam;i l a m
ilam tuufaandu;i l a m   t uː f aː n d u
ilamji;i l a m ɟ i
ilinaade, kilinaade;i l i n aː d e ,   k i l i n aː d e
ilinde;i l i n d e
illa;i l l a
illa tuubaaku warayno;i l l a   t uː b aː k u   w a r a j n o
illaalol;i l l aː l o l
ilude;i l u d e
immugol;i m m u ɡ o l
imo;i m o
ina;i n a
ina moƴƴa;i n a   m o ʔʲ ʔʲ a
inan;i n a n
industri;i n d u s t r i
inɗe kawtuɗe maandaa;i n ɗ e   k a w t u ɗ e   m aː n d aː
Injiila;i n ɟ iː l a
inna;i n n a
inna ceede;i n n a   c eː d e
innde;i n n d e
innde heertiinde;i n n d e   h eː r t iː n d e
inndeeri;i n n d eː r i
inndeinnde huuɓunde;i n n d e i n n d e   h uː ɓ u n d e
inndiraango;i n n d i r aː ŋ ɡ o
inndirde;i n n d i r d e
inndireede;i n n d i r eː d e
innditirde;i n n d i t i r d e
innditirde awoka;i n n d i t i r d e   a w o k a
inndude;i n n d u d e
inniiwo;i n n iː w o
iri1;i r i 1
iri2;i r i 2
iri-iri;i r i - i r i
iri-sukkara;i r i - s u k k a r a
iroiro;i r o i r o
irude;i r u d e
irugol;i r u ɡ o l
isaa'i;i s aː ʔ i
isansi;i s a n s i
Isiyaaka;i s i j aː k a
Israa'iila;i s r aː ʔ iː l a
Israa'iilanke;i s r aː ʔ iː l a n k e
istiloo;i s t i l oː
iten;i t e n
itikummpaaku;i t i k u m m p aː k u
itt-a e;i t t - a   e
itt-e e;i t t - e   e
ittaade;i t t aː d e
ittan sordaasi maa lekkol;i t t a n   s o r d aː s i   m aː   l e k k o l
itteede;i t t eː d e
ittude;i t t u d e
ittude jeddi;i t t u d e   ɟ e d d i
ittugol laamu jiimuhollitingol leydi jeyal hoorem;i t t u ɡ o l   l aː m u   ɟ iː m u h o l l i t i ŋ ɡ o l   l e j d i   ɟ e j a l   h oː r e m
jaabaade;ɟ aː b aː d e
jaabanaade;ɟ aː b a n aː d e
jaabawol;ɟ aː b a w o l
jaabo;ɟ aː b o
jaabondirgol;ɟ aː b o n d i r ɡ o l
jaaɓere;ɟ aː ɓ e r e
jaaɓi;ɟ aː ɓ i
jaaɓirdi;ɟ aː ɓ i r d i
jaaɓirgal;ɟ aː ɓ i r ɡ a l
jaaɓo;ɟ aː ɓ o
jaaɓooyel-daamaraami;ɟ aː ɓ oː j e l - d aː m a r aː m i
jaado;ɟ aː d o
jaadoowo;ɟ aː d oː w o
jaagaade;ɟ aː ɡ aː d e
jaagu;ɟ aː ɡ u
jaahili;ɟ aː h i l i
jaajeeki;ɟ aː ɟ eː k i
jaalaade;ɟ aː l aː d e
jaalɗude;ɟ aː l ɗ u d e
jaaleede;ɟ aː l eː d e
jaaltaade;ɟ aː l t aː d e
jaalu;ɟ aː l u
jaancude;ɟ aː n c u d e
jaangeede;ɟ aː ŋ ɡ eː d e
jaango;ɟ aː ŋ ɡ o
jaabaade;ɟ aː b aː d e
jaabanaade;ɟ aː b a n aː d e
jaabawol;ɟ aː b a w o l
jaabo;ɟ aː b o
jaabondirgol;ɟ aː b o n d i r ɡ o l
jaaɓere;ɟ aː ɓ e r e
jaaɓi;ɟ aː ɓ i
jaaɓirdi;ɟ aː ɓ i r d i
jaaɓirgal;ɟ aː ɓ i r ɡ a l
jaaɓo;ɟ aː ɓ o
jaaɓooyel-daamaraami;ɟ aː ɓ oː j e l - d aː m a r aː m i
jaado;ɟ aː d o
jaadoowo;ɟ aː d oː w o
jaagaade;ɟ aː ɡ aː d e
jaagu;ɟ aː ɡ u
jaahili;ɟ aː h i l i
jaajeeki;ɟ aː ɟ eː k i
jaalaade;ɟ aː l aː d e
jaalɗude;ɟ aː l ɗ u d e
jaaleede;ɟ aː l eː d e
jaaltaade;ɟ aː l t aː d e
jaalu;ɟ aː l u
jaancude;ɟ aː n c u d e
jaangeede;ɟ aː ŋ ɡ eː d e
jaango;ɟ aː ŋ ɡ o
jaangol;ɟ aː ŋ ɡ o l
jaanndaangal;ɟ aː n n d aː ŋ ɡ a l
jaaraade;ɟ aː r aː d e
jaaral;ɟ aː r a l
jaareede;ɟ aː r eː d e
jaartude;ɟ aː r t u d e
jaasal ɗuuɗeefi;ɟ aː s a l   ɗ uː ɗ eː f i
jaasude;ɟ aː s u d e
jaatagol;ɟ aː t a ɡ o l
jaatagol celluka;ɟ aː t a ɡ o l   c e l l u k a
jaati;ɟ aː t i
Jaawanɗo;ɟ aː w a n ɗ o
jaawleere;ɟ aː w l eː r e
jaawngal;ɟ aː w ŋ ɡ a l
jaawngol;ɟ aː w ŋ ɡ o l
jaayal;ɟ aː j a l
jaayngol;ɟ aː j ŋ ɡ o l
jaayri;ɟ aː j r i
jaayrude;ɟ aː j r u d e
jaayude;ɟ aː j u d e
jaaƴaade;ɟ aː ʔʲ aː d e
jaba;ɟ a b a
jabaare;ɟ a b aː r e
jabaciiwa;ɟ a b a c iː w a
jabba;ɟ a b b a
jabbe;ɟ a b b e
jabbere;ɟ a b b e r e
jabbirgal;ɟ a b b i r ɡ a l
jabbitaade;ɟ a b b i t aː d e
jabbude;ɟ a b b u d e
jabe;ɟ a b e
jabetti;ɟ a b e t t i
jabiyaajo;ɟ a b i j aː ɟ o
Jabuura;ɟ a b uː r a
jaɓanngol;ɟ a ɓ a n ŋ ɡ o l
jaɓɓaade;ɟ a ɓ ɓ aː d e
jaɓɓitaade;ɟ a ɓ ɓ i t aː d e
jaɓɓitagol;ɟ a ɓ ɓ i t a ɡ o l
jaɓɓowaade;ɟ a ɓ ɓ o w aː d e
jaɓeede;ɟ a ɓ eː d e
jaɓnude;ɟ a ɓ n u d e
jaɓtude;ɟ a ɓ t u d e
jaɓtugol;ɟ a ɓ t u ɡ o l
jaɓude;ɟ a ɓ u d e
jaɓugol;ɟ a ɓ u ɡ o l
jaccitingol;ɟ a c c i t i ŋ ɡ o l
jaccude;ɟ a c c u d e
jagganaade;ɟ a ɡ ɡ a n aː d e
jah;ɟ a h
jahaangal;ɟ a h aː ŋ ɡ a l
jahannama;ɟ a h a n n a m a
Jahannama;ɟ a h a n n a m a
jaharal yeeso jamaa;ɟ a h a r a l   j eː s o   ɟ a m aː
jahdodinal;ɟ a h d o d i n a l
jahe;ɟ a h e
jahoowo;ɟ a h oː w o
jahoowo jahaangal;ɟ a h oː w o   ɟ a h aː ŋ ɡ a l
jaka;ɟ a k a
jakawalle;ɟ a k a w a l l e
jakka;ɟ a k k a
jakkaade;ɟ a k k aː d e
jakkanaade hoore muuɗum masiiba njuwuɗo ɗum;ɟ a k k a n aː d e   h oː r e   m uː ɗ u m   m a s iː b a   n ɟ u w u ɗ o   ɗ u m
jakkitaade;ɟ a k k i t aː d e
jakkitingol;ɟ a k k i t i ŋ ɡ o l
jalbude;ɟ a l b u d e
jalɓi;ɟ a l ɓ i
jalɓol;ɟ a l ɓ o l
jalɓu;ɟ a l ɓ u
jaldiiɗo;ɟ a l d iː ɗ o
jaleengo;ɟ a l eː ŋ ɡ o
Jaljallo;ɟ a l ɟ a l l o
Jaljalloore;ɟ a l ɟ a l l oː r e
jallinaade;ɟ a l l i n aː d e
Jalluɓeere;ɟ a l l u ɓ eː r e
jalninii;ɟ a l n i n iː
jalnoraade;ɟ a l n o r aː d e
jalnude;ɟ a l n u d e
jalo;ɟ a l o
jaltijaltinde;ɟ a l t i ɟ a l t i n d e
jaltinde;ɟ a l t i n d e
jaltoowo;ɟ a l t oː w o
jalude;ɟ a l u d e
jam;ɟ a m
jam yimɓe fu;ɟ a m   j i m ɓ e   f u
jamaa;ɟ a m aː
jamaanu;ɟ a m aː n u
jamaanuuji;ɟ a m aː n uː ɟ i
jaman;ɟ a m a n
jamba;ɟ a m b a
jambaade;ɟ a m b aː d e
jambeede;ɟ a m b eː d e
jamɗal;ɟ a m ɗ a l
jamɗe;ɟ a m ɗ e
jamhoonyoldu;ɟ a m h oː n j o l d u
jamiral;ɟ a m i r a l
jamirooje;ɟ a m i r oː ɟ e
jammba;ɟ a m m b a
jammba wottooji;ɟ a m m b a   w o t t oː ɟ i
jammbaade;ɟ a m m b aː d e
jammbere;ɟ a m m b e r e
jammbere konko;ɟ a m m b e r e   k o n k o
jammbi;ɟ a m m b i
jammbotooɗo;ɟ a m m b o t oː ɗ o
jammbu;ɟ a m m b u
jammbuure1;ɟ a m m b uː r e 1
jammbuure2;ɟ a m m b uː r e 2
jamme;ɟ a m m e
jammeede;ɟ a m m eː d e
jammere;ɟ a m m e r e
jammi;ɟ a m m i
jammo;ɟ a m m o
jammooje nataaɗe;ɟ a m m oː ɟ e   n a t aː ɗ e
jammoore;ɟ a m m oː r e
jammoore kuttorgol;ɟ a m m oː r e   k u t t o r ɡ o l
jammoore leydi;ɟ a m m oː r e   l e j d i
jammoore nataande;ɟ a m m oː r e   n a t aː n d e
jammude;ɟ a m m u d e
jamolɗinde;ɟ a m o l ɗ i n d e
jamrude;ɟ a m r u d e
janal naange;ɟ a n a l   n aː ŋ ɡ e
janano;ɟ a n a n o
jananum;ɟ a n a n u m
janarma;ɟ a n a r m a
jandarmeri;ɟ a n d a r m e r i
jande;ɟ a n d e
jangirde;ɟ a ŋ ɡ i r d e
jangoro;ɟ a ŋ ɡ o r o
janjannguuru;ɟ a n ɟ a n ŋ ɡ uː r u
janjere;ɟ a n ɟ e r e
janjinde;ɟ a n ɟ i n d e
janjingol;ɟ a n ɟ i ŋ ɡ o l
janjinnde;ɟ a n ɟ i n n d e
janjinooji takkaaɗi;ɟ a n ɟ i n oː ɟ i   t a k k aː ɗ i
jannde;ɟ a n n d e
jannde anndal tergal;ɟ a n n d e   a n n d a l   t e r ɡ a l
jannde ɓii-leydiyaaku;ɟ a n n d e   ɓ iː - l e j d i j aː k u
jannde gunndaande;ɟ a n n d e   ɡ u n n d aː n d e
jannde haala;ɟ a n n d e   h aː l a
jannde haalaaji finaatawa;ɟ a n n d e   h aː l aː ɟ i   f i n aː t a w a
jannde jannginoowo;ɟ a n n d e   ɟ a n ŋ ɡ i n oː w o
jannde laaɓunde;ɟ a n n d e   l aː ɓ u n d e
jannde leeɓunde;ɟ a n n d e   l eː ɓ u n d e
jannde neɗɗo gooto;ɟ a n n d e   n e ɗ ɗ o   ɡ oː t o
janndi;ɟ a n n d i
janng-a;ɟ a n ŋ ɡ - a
jannga-na-juula;ɟ a n ŋ ɡ a - n a - ɟ uː l a
janngande;ɟ a n ŋ ɡ a n d e
janngannde;ɟ a n ŋ ɡ a n n d e
janngaro;ɟ a n ŋ ɡ a r o
janngidgol renndaango;ɟ a n ŋ ɡ i d ɡ o l   r e n n d aː ŋ ɡ o
jannginde;ɟ a n ŋ ɡ i n d e
janngingol no nyaamnirtee;ɟ a n ŋ ɡ i ŋ ɡ o l   n o   n j aː m n i r t eː
jannginoowo;ɟ a n ŋ ɡ i n oː w o
janngirde;ɟ a n ŋ ɡ i r d e
janngirde harfu harfu;ɟ a n ŋ ɡ i r d e   h a r f u   h a r f u
janngirdu;ɟ a n ŋ ɡ i r d u
janngitaade;ɟ a n ŋ ɡ i t aː d e
janngoowo;ɟ a n ŋ ɡ oː w o
janngude;ɟ a n ŋ ɡ u d e
jannguɗo laaluwaaji;ɟ a n ŋ ɡ u ɗ o   l aː l u w aː ɟ i
janngugol soorte;ɟ a n ŋ ɡ u ɡ o l   s oː r t e
jannjinde;ɟ a n n ɟ i n d e
jansooguuru;ɟ a n s oː ɡ uː r u
jantal;ɟ a n t a l
jantanaade;ɟ a n t a n aː d e
janti;ɟ a n t i
japagariire;ɟ a p a ɡ a r iː r e
jappaajo;ɟ a p p aː ɟ o
jappe;ɟ a p p e
japtude;ɟ a p t u d e
jaram;ɟ a r a m
jardiiɗo;ɟ a r d iː ɗ o
jareeje;ɟ a r eː ɟ e
jareere;ɟ a r eː r e
jareteeɗam;ɟ a r e t eː ɗ a m
jarnirgal;ɟ a r n i r ɡ a l
jarribaade;ɟ a r r i b aː d e
jarribe;ɟ a r r i b e
jarribeede;ɟ a r r i b eː d e
jartinde;ɟ a r t i n d e
jataade;ɟ a t aː d e
jate;ɟ a t e
jaw;ɟ a w
jawande;ɟ a w a n d e
jawdi;ɟ a w d i
jawdi allamaari;ɟ a w d i   a l l a m aː r i
jawdi kawtaandi;ɟ a w d i   k a w t aː n d i
jawdi laamu sarwiisi;ɟ a w d i   l aː m u   s a r w iː s i
jawdi ley leydi;ɟ a w d i   l e j   l e j d i
jawdi suudu baaba;ɟ a w d i   s uː d u   b aː b a
jawdi tawaturuuri;ɟ a w d i   t a w a t u r uː r i
jawdiri;ɟ a w d i r i
jawɗi;ɟ a w ɗ i
jawel;ɟ a w e l
jawga;ɟ a w ɡ a
jawgal;ɟ a w ɡ a l
jawgel;ɟ a w ɡ e l
jawgi;ɟ a w ɡ i
jawle;ɟ a w l e
jawlel-jawlel;ɟ a w l e l - ɟ a w l e l
jawngal;ɟ a w ŋ ɡ a l
jawngal baggal;ɟ a w ŋ ɡ a l   b a ɡ ɡ a l
jawnude;ɟ a w n u d e
jawo;ɟ a w o
jawtaade;ɟ a w t aː d e
jawtuɗo;ɟ a w t u ɗ o
jawude;ɟ a w u d e
jayɗo;ɟ a j ɗ o
jayngol;ɟ a j ŋ ɡ o l
jebe;ɟ e b e
jeɓe;ɟ e ɓ e
jeɓee;ɟ e ɓ eː
jeddel-alla;ɟ e d d e l - a l l a
jeddi;ɟ e d d i
jeɗɗi;ɟ e ɗ ɗ i
jeɗɗiire;ɟ e ɗ ɗ iː r e
jeɗɗo;ɟ e ɗ ɗ o
jeɗɗoy;ɟ e ɗ ɗ o j
jeɗu;ɟ e ɗ u
jeegaɓo;ɟ eː ɡ a ɓ o
jeegineeji;ɟ eː ɡ i n eː ɟ i
jeegom;ɟ eː ɡ o m
jeegomo;ɟ eː ɡ o m o
jeegoy;ɟ eː ɡ o j
jeelooba;ɟ eː l oː b a
juulirde;ɟ uː l i r d e
juulnude1;ɟ uː l n u d e 1
juulnude2;ɟ uː l n u d e 2
juulnugol;ɟ uː l n u ɡ o l
juulude;ɟ uː l u d e
juumre;ɟ uː m r e
juunnitorde;ɟ uː n n i t o r d e
juuraade;ɟ uː r aː d e
juurdude1;ɟ uː r d u d e 1
juurdude2;ɟ uː r d u d e 2
juuri;ɟ uː r i
juuriire;ɟ uː r iː r e
juurnude;ɟ uː r n u d e
juurude;ɟ uː r u d e
juuruure;ɟ uː r uː r e
juuta-enɗiihi;ɟ uː t a - e n ɗ iː h i
juutinal;ɟ uː t i n a l
juutirka;ɟ uː t i r k a
juutude;ɟ uː t u d e
ka1;k a 1
ka2;k a 2
kaa;k aː
kaabaaje;k aː b aː ɟ e
kaabi;k aː b i
kaabo;k aː b o
kaaccam;k aː c c a m
kaaɗam;k aː ɗ a m
kaaɗo;k aː ɗ o
kaaɗungel;k aː ɗ u ŋ ɡ e l
kaafaahi;k aː f aː h i
kaakaduru;k aː k a d u r u
kaake defirɗe;k aː k e   d e f i r ɗ e
kaakol;k aː k o l
kaakolol;k aː k o l o l
kaalaaka;k aː l aː k a
kaalaandi;k aː l aː n d i
kaaldal;k aː l d a l
kaaleyal;k aː l e j a l
kaalimawol;k aː l i m a w o l
kaalisi;k aː l i s i
kaaloowo haala;k aː l oː w o   h aː l a
kaaltaro;k aː l t a r o
kaamili;k aː m i l i
kaamilude;k aː m i l u d e
ka1;k a 1
ka2;k a 2
kaa;k aː
kaabaaje;k aː b aː ɟ e
kaabi;k aː b i
kaabo;k aː b o
kaaccam;k aː c c a m
kaaɗam;k aː ɗ a m
kaaɗo;k aː ɗ o
kaaɗungel;k aː ɗ u ŋ ɡ e l
kaafaahi;k aː f aː h i
kaakaduru;k aː k a d u r u
kaake defirɗe;k aː k e   d e f i r ɗ e
kaakol;k aː k o l
kaakolol;k aː k o l o l
kaalaaka;k aː l aː k a
kaalaandi;k aː l aː n d i
kaaldal;k aː l d a l
kaaleyal;k aː l e j a l
kaalimawol;k aː l i m a w o l
kaalisi;k aː l i s i
kaaloowo haala;k aː l oː w o   h aː l a
kaaltaro;k aː l t a r o
kaamili;k aː m i l i
kaamilude;k aː m i l u d e
kaamirgal;k aː m i r ɡ a l
kaamu;k aː m u
kaanaal;k aː n aː l
kaanankaaku;k aː n a n k aː k u
kaananke;k aː n a n k e
kaanɗi;k aː n ɗ i
kaane ɓii-aadama;k aː n e   ɓ iː - aː d a m a
